"plant_id","file_name","date_code","scan_date","annotated","n_columns","n_points","z_min","z_max","height_z_range","day_index"
"Maize01","M01_0313_a.txt","0313",2020-03-13,TRUE,5,1554168,-9.1819,58.4688,67.6507,1
"Maize01","M01_0314.txt","0314",2020-03-14,FALSE,3,1641908,-9.0547,79.898,88.9527,2
"Maize01","M01_0315_a.txt","0315",2020-03-15,TRUE,5,1301557,-10.0125,105.1318,115.1443,3
"Maize01","M01_0316.txt","0316",2020-03-16,FALSE,3,1026080,-8.4022,127.0399,135.4421,4
"Maize01","M01_0317_a.txt","0317",2020-03-17,TRUE,5,803846,-9.7284,174.5878,184.3162,5
"Maize01","M01_0318.txt","0318",2020-03-18,FALSE,3,337476,-9.8698,238.7699,248.6397,6
"Maize01","M01_0319_a.txt","0319",2020-03-19,TRUE,5,860826,-9.8332,275.262,285.0952,7
"Maize01","M01_0320.txt","0320",2020-03-20,FALSE,3,527758,-10.9408,272.2912,283.232,8
"Maize01","M01_0321_a.txt","0321",2020-03-21,TRUE,5,1114990,-9.4023,289.2375,298.6398,9
"Maize01","M01_0322.txt","0322",2020-03-22,FALSE,3,805391,-1.5914,369.5771,371.1685,10
"Maize01","M01_0324_a.txt","0324",2020-03-24,TRUE,5,1214597,-11.0004,364.6296,375.63,11
"Maize01","M01_0325_a.txt","0325",2020-03-25,TRUE,5,1407956,-10.3512,356.0744,366.4256,12
